Rank,Term,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value
86,positive regulation of cell population proliferation (GO:0008284),0.15458072491542188,6.878083157152925,12.8416483147841,['FGF18'],0.17435267810227817,0,0
87,positive regulation of gene expression (GO:0010628),0.15700275306575265,6.760914760914761,12.517779175616761,['FGF18'],0.1750490465215863,0,0
88,positive regulation of nucleic acid-templated transcription (GO:1903508),0.16573281677171617,6.366993464052287,11.443896046701223,['FOXF2'],0.18268276394155078,0,0
89,positive regulation of intracellular signal transduction (GO:1902533),0.17616579963492,5.947400611620795,10.326648224645407,['FGF18'],0.19200092769199145,0,0
90,positive regulation of cellular process (GO:0048522),0.19930425823258982,5.173344017094017,8.344203927901033,['FGF18'],0.21480570053956902,0,0
91,regulation of apoptotic process (GO:0042981),0.23254842677560106,4.330184435447594,6.316252921948175,['KCNMA1'],0.24788129007948684,0,0
92,regulation of cell population proliferation (GO:0042127),0.23866543804929588,4.200524246395806,6.018059787777058,['FGF18'],0.2516363857693663,0,0
93,positive regulation of transcription by RNA polymerase II (GO:0045944),0.27768172953549347,3.5071664829106948,4.493661145170114,['FOXF2'],0.2896250297305685,0,0
94,regulation of gene expression (GO:0010468),0.32177633461391403,2.924397031539889,3.3159696642102268,['FGF18'],0.33204579210159213,0,0
95,"positive regulation of transcription, DNA-templated (GO:0045893)",0.3474490994393985,2.6524252679075015,2.8039771587046225,['FOXF2'],0.35476381732233325,0,0
96,regulation of transcription by RNA polymerase II (GO:0006357),0.5587860432786053,1.3445200302343159,0.7824953679142849,['FOXF2'],0.5646067312294241,0,0
97,"regulation of transcription, DNA-templated (GO:0006355)",0.5653406657670125,1.3189181156189627,0.7522143236472613,['FOXF2'],0.5653406657670125,0,0
